,Loan_Amount_Term,Credit_History,TotalIncome,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Self_Employed_No,Self_Employed_Yes,property_Area_Rural,property_Area_Semiurban,property_Area_Urban,Loan_Status_Y
81,360.0,1.0,4166.0,1,0,1,0,0,0,1,0,0,1,0,1
117,360.0,1.0,11333.0,0,1,1,0,0,0,1,0,0,1,0,1
302,360.0,1.0,7142.0,0,1,1,0,0,0,0,1,1,0,0,1
225,360.0,1.0,7978.0,0,1,1,0,0,0,0,1,0,1,0,1
165,360.0,1.0,7550.0,0,1,0,0,1,0,0,1,1,0,0,1
138,360.0,1.0,3244.0,1,0,1,0,0,0,1,0,0,0,1,1
369,360.0,1.0,4592.0,1,0,1,0,0,0,1,0,1,0,0,1
307,300.0,1.0,15666.0,0,1,1,0,0,0,1,0,1,0,0,1
361,360.0,1.0,17500.0,0,1,0,0,1,0,0,1,1,0,0,1
168,180.0,1.0,6608.0,0,1,0,1,0,0,1,0,0,0,1,1
366,360.0,1.0,6525.0,0,1,1,0,0,0,1,0,1,0,0,1
421,360.0,1.0,7583.0,0,1,0,0,1,0,1,0,0,0,1,1
349,360.0,1.0,7926.0,0,1,0,0,1,0,1,0,1,0,0,1
317,180.0,1.0,7740.0,0,1,0,0,0,1,1,0,0,0,1,1
141,360.0,1.0,7787.0,0,1,0,1,0,0,0,1,0,0,1,1
169,480.0,1.0,4725.0,0,1,0,1,0,0,1,0,0,1,0,1
419,180.0,1.0,4106.0,0,1,0,0,0,1,1,0,1,0,0,1
309,360.0,1.0,4652.0,0,1,0,0,1,0,1,0,1,0,0,1
358,360.0,1.0,2500.0,1,0,1,0,0,0,1,0,0,1,0,1
215,180.0,1.0,5039.0,0,1,0,1,0,0,1,0,0,0,1,1
274,360.0,1.0,4500.0,0,1,0,0,1,0,1,0,0,0,1,1
179,360.0,1.0,6095.0,0,1,0,0,1,0,1,0,0,1,0,1
289,360.0,1.0,3539.0,0,1,1,0,0,0,1,0,0,0,1,1
147,360.0,1.0,5726.0,0,1,0,0,1,0,1,0,0,1,0,1
19,360.0,1.0,5167.0,0,1,1,0,0,0,1,0,0,1,0,1
106,360.0,1.0,9538.0,0,1,0,1,0,0,1,0,0,0,1,1
357,360.0,1.0,3934.0,0,1,0,0,1,0,1,0,0,1,0,1
350,360.0,1.0,27500.0,0,1,1,0,0,0,1,0,0,0,1,1
233,360.0,1.0,5938.0,0,1,0,1,0,0,1,0,1,0,0,1
91,120.0,1.0,3459.0,0,1,1,0,0,0,0,1,0,1,0,1
72,360.0,1.0,5316.0,1,0,1,0,0,0,1,0,0,0,1,1
154,360.0,1.0,4545.0,0,1,0,1,0,0,1,0,0,1,0,1
399,360.0,1.0,6540.0,0,1,0,0,1,0,1,0,0,1,0,1
38,360.0,1.0,6296.0,0,1,1,0,0,0,1,0,0,0,1,1
98,360.0,1.0,6816.0,0,1,1,0,0,0,1,0,0,1,0,1
346,360.0,1.0,3159.0,1,0,1,0,0,0,1,0,0,1,0,1
241,360.0,1.0,10916.0,0,1,1,0,0,0,1,0,0,1,0,1
118,360.0,1.0,5461.0,0,1,1,0,0,0,1,0,1,0,0,1
400,360.0,1.0,3166.0,0,1,1,0,0,0,1,0,0,1,0,1
109,360.0,1.0,2904.0,0,1,1,0,0,0,1,0,0,1,0,1
401,360.0,1.0,3819.0,0,1,1,0,0,0,1,0,0,0,1,1
211,360.0,1.0,2917.0,1,0,1,0,0,0,1,0,0,1,0,1
408,360.0,1.0,3833.0,1,0,1,0,0,0,1,0,1,0,0,1
304,360.0,1.0,9734.0,0,1,1,0,0,0,1,0,1,0,0,1
24,360.0,1.0,3013.0,1,0,1,0,0,0,1,0,0,0,1,1
8,360.0,1.0,3667.0,0,1,0,0,1,0,1,0,0,0,1,1
104,180.0,0.0,39999.0,0,1,0,0,0,1,1,0,0,1,0,1
128,360.0,1.0,3858.0,1,0,1,0,0,0,1,0,0,1,0,1
252,360.0,1.0,6822.0,1,0,1,0,0,0,0,1,1,0,0,1
364,360.0,1.0,3981.0,1,0,0,1,0,0,1,0,0,1,0,1
2,360.0,1.0,4941.0,0,1,1,0,0,0,1,0,0,0,1,1
261,360.0,1.0,5391.0,0,1,0,0,1,0,1,0,0,0,1,1
43,360.0,1.0,3750.0,0,1,0,0,1,0,0,1,0,1,0,1
176,360.0,1.0,7200.0,1,0,1,0,0,0,1,0,1,0,0,1
360,360.0,1.0,15114.0,0,1,0,0,1,0,0,1,1,0,0,1
143,360.0,1.0,6194.0,0,1,1,0,0,0,1,0,0,0,1,1
373,180.0,1.0,7453.0,0,1,0,1,0,0,1,0,0,1,0,1
183,360.0,1.0,11146.0,0,1,1,0,0,0,1,0,0,0,1,1
181,360.0,1.0,4436.0,1,0,0,1,0,0,1,0,0,0,1,1
201,360.0,1.0,5717.0,0,1,1,0,0,0,1,0,0,1,0,1
363,360.0,0.0,6715.0,0,1,0,1,0,0,1,0,0,1,0,1
313,360.0,1.0,3859.0,0,1,0,0,1,0,1,0,0,1,0,1
195,360.0,1.0,6211.0,1,0,1,0,0,0,1,0,1,0,0,1
204,360.0,1.0,4666.0,0,1,0,1,0,0,1,0,0,0,1,1
56,180.0,1.0,11904.0,0,1,0,0,1,0,1,0,0,1,0,1
385,360.0,1.0,6556.0,0,1,1,0,0,0,1,0,0,1,0,1
259,360.0,1.0,13746.0,0,1,0,0,0,1,1,0,1,0,0,1
53,360.0,1.0,8566.0,1,0,1,0,0,0,1,0,0,0,1,1
206,360.0,1.0,5000.0,1,0,1,0,0,0,1,0,1,0,0,1
209,360.0,1.0,5428.0,1,0,1,0,0,0,1,0,1,0,0,1
51,360.0,1.0,5333.0,0,1,0,0,1,0,1,0,0,1,0,1
4,360.0,1.0,9613.0,0,1,0,0,1,0,0,1,0,0,1,1
395,84.0,1.0,3620.0,0,1,0,0,1,0,1,0,0,0,1,1
139,360.0,1.0,6506.0,1,0,1,0,0,0,1,0,1,0,0,1
308,360.0,1.0,4676.0,0,1,0,1,0,0,0,1,1,0,0,1
251,300.0,1.0,6046.0,0,1,1,0,0,0,1,0,0,0,1,1
178,360.0,1.0,7542.0,1,0,1,0,0,0,1,0,1,0,0,1
267,360.0,1.0,3946.0,1,0,1,0,0,0,1,0,0,1,0,1
89,360.0,1.0,3943.0,1,0,1,0,0,0,1,0,0,0,1,1
130,360.0,1.0,12083.0,1,0,1,0,0,0,1,0,1,0,0,1
